koi_period,koi_duration,koi_depth,koi_prad,koi_model_snr,koi_impact,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disposition,koi_disposition_encoded
9.48803557,2.9575,616.0,2.26,35.8,0.146,5455.0,4.467,0.927,15.347,0,0,0,0,CONFIRMED,0
54.4183827,4.507,875.0,2.83,25.8,0.586,5455.0,4.467,0.927,15.347,0,0,0,0,CONFIRMED,0
19.89913995,1.7822,10800.0,14.6,76.3,0.969,5853.0,4.544,0.868,15.436,0,0,0,0,CANDIDATE,1
1.736952453,2.40641,8080.0,33.46,505.6,1.276,5805.0,4.564,0.791,15.597,0,1,0,0,FALSE POSITIVE,2
2.525591777,1.6545,603.0,2.75,40.9,0.701,6031.0,4.438,1.046,15.509,0,0,0,0,CONFIRMED,0
11.09432054,4.5945,1520.0,3.9,66.5,0.538,6046.0,4.486,0.972,15.714,0,0,0,0,CONFIRMED,0
4.13443512,3.1402,686.0,2.77,40.2,0.762,6046.0,4.486,0.972,15.714,0,0,0,0,CONFIRMED,0
2.56658897,2.429,227.0,1.59,15.0,0.755,6046.0,4.486,0.972,15.714,0,0,0,0,CONFIRMED,0
7.36178958,5.022,234.0,39.21,47.7,1.169,6227.0,3.986,1.958,12.66,0,1,1,0,FALSE POSITIVE,2
16.06864674,3.5347,4910.0,5.76,161.9,0.052,5031.0,4.485,0.848,15.841,0,0,0,0,CONFIRMED,0
2.470613377,1.74319,14200.0,13.04,4304.3,0.818,5820.0,4.457,0.964,11.338,0,0,0,0,CONFIRMED,0
2.204735417,3.88864,6670.0,16.1,5945.9,0.224,6440.0,4.019,1.952,10.463,0,1,0,0,CONFIRMED,0
3.522498429,3.19843,9150.0,14.59,1741.5,0.631,6225.0,4.169,1.451,13.563,0,0,0,0,CONFIRMED,0
3.709214104,2.6302,131.0,1.16,50.6,0.051,5833.0,4.407,1.022,12.772,0,0,0,0,CONFIRMED,0
11.52144606,3.6399,18000.0,150.51,622.1,2.483,5795.0,4.554,0.848,15.472,0,1,0,0,FALSE POSITIVE,2
19.40393776,12.2155,8920.0,7.18,214.7,0.804,5043.0,4.591,0.68,15.487,0,1,0,0,FALSE POSITIVE,2
19.22138894,4.79843,74300.0,49.29,2317.0,1.065,6117.0,4.496,0.947,15.341,0,1,0,0,FALSE POSITIVE,2
16.46983774,9.4378,10500.0,7.94,303.4,0.292,5152.0,4.517,0.786,15.788,0,1,0,0,FALSE POSITIVE,2
9.27358173,3.2875,1290.0,2.47,87.2,0.387,4856.0,4.583,0.696,15.302,0,0,0,0,CONFIRMED,0
6.02930329,1.5821,1910.0,2.85,65.4,0.258,4537.0,4.648,0.672,15.784,0,0,0,0,CONFIRMED,0
2.696370652,3.6129,398.0,1.58,48.2,0.044,4989.0,4.504,0.819,15.269,0,1,1,1,FALSE POSITIVE,2
5.349553819,3.0278,831.0,2.55,60.6,0.092,5185.0,4.44,0.91,15.416,0,0,0,0,CONFIRMED,0
3.94105221,2.5984,363.0,1.7,28.9,0.226,5185.0,4.44,0.91,15.416,0,0,0,0,CONFIRMED,0
8.10904807,3.596,217.0,1.3,14.1,0.025,5185.0,4.44,0.91,15.416,0,0,0,0,CONFIRMED,0
386.6030528,6.8057,24900.0,41.5,994.0,0.9765,5543.0,4.081,1.58,12.394,0,1,0,0,FALSE POSITIVE,2
21.67699193,3.4555,857.0,2.95,34.3,0.896,4954.0,4.5,0.828,15.377,0,0,0,0,CONFIRMED,0
4.99677968,2.1717,935.0,2.78,28.2,0.71,5339.0,4.552,0.847,15.861,0,0,0,0,CONFIRMED,0
4.280963604,2.875,751.0,2.3,61.8,0.424,5644.0,4.564,0.831,15.356,0,0,0,0,CONFIRMED,0
1.50635409,1.5155,2210.0,4.53,181.1,0.86,5714.0,4.563,0.831,15.525,0,0,1,0,FALSE POSITIVE,2
670.645531,53.412,18100.0,14.14,642.7,0.701,5520.0,4.466,0.983,15.207,0,1,1,0,FALSE POSITIVE,2
61.2563628,7.633,5120.0,39.87,85.3,1.248,6144.0,4.402,1.091,15.25,0,1,0,0,FALSE POSITIVE,2
38.3775486,5.588,724.0,2.82,34.7,0.468,5481.0,4.369,1.036,15.172,0,0,0,0,CONFIRMED,0
41.19725502,4.6297,2210.0,3.86,51.2,0.045,5031.0,4.485,0.848,15.841,0,0,0,0,CONFIRMED,0
6.252962249,2.5819,1040.0,2.65,47.1,0.105,5031.0,4.485,0.848,15.841,0,0,0,0,CONFIRMED,0
16.01308419,3.2554,1120.0,3.1,33.2,0.799,5015.0,4.499,0.826,15.39,0,0,0,0,CONFIRMED,0
32.62876672,4.7971,1800.0,3.36,80.0,0.021,5586.0,4.56,0.798,15.082,0,0,0,0,CONFIRMED,0
91.7732862,6.473,652.0,2.12,19.1,0.606,5586.0,4.56,0.798,15.082,0,0,0,0,CONFIRMED,0
4.959319244,2.22739,9800.0,12.21,696.5,0.831,5712.0,4.359,1.082,15.263,0,0,0,0,CANDIDATE,1
2.701287801,3.3827,860.0,6.54,48.3,1.016,5550.0,4.468,0.91,15.54,0,1,1,0,FALSE POSITIVE,2
4.49876511,3.7362,460.0,2.1,29.5,0.312,6075.0,4.486,0.969,15.395,0,0,0,0,CONFIRMED,0
19.65120951,5.2514,11800.0,12.42,513.4,0.723,6074.0,4.391,1.063,15.536,0,1,0,0,FALSE POSITIVE,2
5.412203927,2.9472,602.0,2.94,166.7,0.787,5779.0,4.339,1.087,12.791,0,0,0,0,CONFIRMED,0
41.43958662,10.5989,2790.0,5.5,141.1,0.355,5468.0,4.367,1.046,15.4,0,0,0,0,CONFIRMED,0
8.35389523,2.2514,1040.0,2.52,43.4,0.023,5592.0,4.582,0.787,15.317,0,0,0,0,CONFIRMED,0
4.125543472,3.1744,1490.0,4.43,128.6,0.597,6174.0,4.417,1.103,15.506,0,0,0,0,CONFIRMED,0
2.816504904,2.50587,16800.0,12.21,1406.8,0.105,5532.0,4.452,0.955,15.052,0,0,0,0,CONFIRMED,0
